emp_id,first_name,last_name,date_of_birth,age,age_group,start_date,exit_date,title,supervisor,email,business_unit,employee_status,employee_type,payzone,employee_classification_type,termination_type,department_type,division,state,job_description,gender,race_description,marital_status,performance_score,current_employee_rating
3427,Uriah,Bridges,1969-10-07,55,Ages 36-55,2019-09-20,,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unknown,Production       ,Finance & Accounting,MA,Accounting,Female,White,Widowed,Fully Meets,4
3428,Paula,Small,1965-08-30,59,Ages 56-70,2023-02-11,,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Unknown,Production       ,Aerial,MA,Labor,Male,Hispanic,Widowed,Fully Meets,3
3429,Edward,Buck,1991-10-06,33,Ages 20-35,2018-12-10,,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unknown,Sales,General - Sga,MA,Assistant,Male,Hispanic,Widowed,Fully Meets,4
3430,Michael,Riordan,1998-04-04,27,Ages 20-35,2021-06-21,,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unknown,Sales,Finance & Accounting,ND,Clerk,Male,Other,Single,Fully Meets,2
3431,Jasmine,Onque,1969-08-29,55,Ages 36-55,2019-06-29,,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unknown,Sales,General - Con,FL,Laborer,Female,Other,Married,Fully Meets,3
3432,Maruk,Fraval,1949-04-03,76,Above 70,2020-01-17,,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unknown,Sales,Field Operations,CT,Driver,Male,Black,Married,Fully Meets,3
3433,Latia,Costa,1942-07-01,82,Above 70,2022-04-06,2023-07-03,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Sales,General - Eng,CA,Technician,Female,Hispanic,Divorced,Exceeds,4
3434,Sharlene,Terry,1957-03-07,68,Ages 56-70,2020-11-06,2023-01-29,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Sales,Engineers,OR,Engineer,Female,White,Divorced,Fully Meets,2
3435,Jac,McKinzie,1974-05-15,51,Ages 36-55,2018-08-18,,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unknown,Sales,Executive,TX,Executive Assistant,Male,Black,Widowed,Exceeds,3
3436,Joseph,Martins,1949-11-11,75,Above 70,2022-01-21,2023-06-29,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Sales,Engineers,TX,Engineer,Male,Asian,Widowed,Fully Meets,5
3437,Myriam,Givens,1964-01-26,61,Ages 56-70,2023-08-04,,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Unknown,Sales,Field Operations,IN,Technician,Female,Other,Single,Fully Meets,5
3438,Dheepa,Nguyen,1948-04-06,77,Above 70,2018-08-10,2019-11-04,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Sales,General - Con,GA,Technician,Female,Asian,Married,Fully Meets,3
3439,Bartholemew,Khemmich,1981-11-24,43,Ages 36-55,2022-05-25,2022-11-27,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Sales,Splicing,CO,Splicer,Male,Other,Single,Fully Meets,3
3440,Xana,Potts,1951-11-06,73,Above 70,2019-12-05,2023-02-17,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Sales,Finance & Accounting,KY,Controller,Female,White,Divorced,Fully Meets,3
3441,Prater,Jeremy,1989-11-21,35,Ages 20-35,2019-04-28,,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unknown,Sales,General - Con,NV,Lineman,Male,Asian,Widowed,Exceeds,4
